0	107
1	5
2	5
3	26
4	16
5	5
6	14
7	5
8	0
9	5
10	9
11	27
12	5
13	321
14	12
15	0
16	45
17	0
18	0
19	0
20	0
21	4
22	0
23	5
24	0
25	0
26	27
27	46
28	5
29	0
30	0
31	0
32	5
33	5
34	23
35	0
36	0
37	0
38	5
39	4
40	5
41	80
42	9
43	16
44	0
45	303
46	5
47	5
48	0
49	0
50	42
51	44
52	5
53	0
54	2
55	2
56	0
57	5
58	0
59	5
60	0
61	18
62	27
63	5
64	0
65	17
66	16
67	10
68	5
69	5
70	264
71	0
72	73
73	5
74	5
75	5
76	27
77	5
78	126
79	5
80	5
81	5
82	5
83	28
84	13
85	42
86	16
87	0
88	5
89	0
90	33
91	27
92	0
93	31
94	12
95	9
96	0
97	43
98	5
99	5
100	0
101	0
102	46
103	5
104	43
105	127
106	0
107	0
108	0
109	0
110	0
111	5
112	16
113	2
114	4
115	22
116	27
117	49
118	0
119	4
120	0
121	27
122	0
123	27
124	0
125	23
126	27
127	16
128	105
129	54
130	0
131	0
132	5
133	31
134	0
135	0
136	46
137	47
138	42
139	5
140	0
141	5
142	43
143	27
144	5
145	16
146	16
147	31
148	0
149	5
150	42
151	5
152	5
153	5
154	5
155	45
156	10
157	16
158	0
159	5
160	16
161	5
162	16
163	16
164	0
165	17
166	42
167	31
168	21
169	42
170	0
171	23
172	5
173	46
174	31
175	0
176	0
177	5
178	0
179	0
180	265
181	5
182	31
183	5
184	0
185	75
186	0
187	27
188	0
189	14
190	20
191	212
192	0
193	27
194	5
195	5
196	60
197	80
198	44
199	0
200	4
201	0
202	0
203	27
204	187
205	5
206	5
207	5
208	0
209	31
210	4
211	43
212	0
213	27
214	27
215	5
216	51
217	40
218	9
219	23
220	16
221	5
222	0
223	74
224	5
225	23
226	0
227	5
228	0
229	0
230	43
231	23
232	12
233	0
234	5
235	5
236	0
237	0
238	5
239	9
240	31
241	0
242	44
243	0
244	26
245	31
246	5
247	5
248	5
249	0
250	42
251	42
252	5
253	5
254	44
255	5
256	280
257	0
258	0
259	24
260	229
261	322
262	42
263	26
264	5
265	5
266	304
267	27
268	4
269	44
270	5
271	0
272	0
273	0
274	5
275	16
276	16
277	47
278	5
279	0
280	249
281	5
282	5
283	27
284	213
285	5
286	20
287	0
288	0
289	50
290	0
291	0
292	178
293	1
294	5
295	5
296	16
297	42
298	5
299	323
300	0
301	24
302	27
303	43
304	0
305	0
306	9
307	5
308	5
309	5
310	5
311	0
312	159
313	27
314	31
315	27
316	31
317	5
318	5
319	5
320	5
321	12
322	5
323	5
324	22
325	0
326	42
327	5
328	0
329	5
330	27
331	0
332	27
333	0
334	5
335	204
336	5
337	79
338	27
339	5
340	0
341	27
342	51
343	5
344	117
345	5
346	0
347	84
348	40
349	0
350	188
351	27
352	23
353	0
354	0
355	0
356	0
357	0
358	5
359	25
360	0
361	5
362	5
363	5
364	0
365	0
366	0
367	5
368	0
369	51
370	31
371	16
372	31
373	44
374	143
375	61
376	0
377	12
378	138
379	5
380	5
381	5
382	128
383	5
384	0
385	0
386	45
387	5
388	10
389	115
390	5
391	0
392	5
393	5
394	40
395	0
396	31
397	45
398	5
399	5
400	42
401	4
402	16
403	5
404	101
405	0
406	5
407	27
408	5
409	66
410	0
411	38
412	0
413	0
414	0
415	159
416	5
417	5
418	0
419	79
420	0
421	44
422	50
423	5
424	5
425	0
426	31
427	5
428	5
429	0
430	5
431	0
432	31
433	0
434	0
435	31
436	0
437	5
438	43
439	27
440	0
441	5
442	0
443	92
444	0
445	0
446	5
447	5
448	5
449	5
450	0
451	5
452	5
453	9
454	5
455	27
456	0
457	0
458	31
459	31
460	205
461	16
462	179
463	17
464	16
465	0
466	281
467	5
468	51
469	5
470	0
471	27
472	27
473	10
474	0
475	214
476	0
477	0
478	0
479	165
480	5
481	43
482	5
483	24
484	43
485	9
486	0
487	0
488	87
489	16
490	45
491	31
492	27
493	43
494	42
495	5
496	0
497	31
498	0
499	68
500	27
501	83
502	305
503	250
504	27
505	0
506	42
507	5
508	31
509	16
510	282
511	0
512	0
513	31
514	306
515	5
516	43
517	0
518	5
519	82
520	42
521	27
522	42
523	5
524	12
525	27
526	5
527	16
528	16
529	5
530	9
531	23
532	119
533	31
534	0
535	5
536	5
537	148
538	9
539	0
540	166
541	31
542	5
543	0
544	0
545	16
546	0
547	0
548	27
549	4
550	26
551	0
552	5
553	0
554	0
555	23
556	213
557	0
558	5
559	42
560	43
561	0
562	27
563	4
564	5
565	5
566	0
567	5
568	27
569	43
570	5
571	38
572	43
573	131
574	42
575	0
576	0
577	0
578	4
579	5
580	5
581	23
582	27
583	42
584	5
585	0
586	5
587	43
588	5
589	27
590	43
591	42
592	0
593	5
594	28
595	22
596	5
597	5
598	16
599	27
600	108
601	27
602	5
603	0
604	9
605	42
606	51
607	5
608	46
609	0
610	17
611	0
612	6
613	5
614	24
615	5
616	138
617	5
618	5
619	31
620	5
621	96
622	27
623	0
624	0
625	5
626	26
627	5
628	10
629	5
630	52
631	9
632	6
633	0
634	5
635	5
636	0
637	5
638	0
639	0
640	0
641	0
642	31
643	16
644	0
645	31
646	0
647	10
648	5
649	324
650	5
651	0
652	48
653	0
654	5
655	5
656	23
657	0
658	0
659	31
660	46
661	44
662	213
663	5
664	5
665	0
666	5
667	5
668	111
669	0
670	31
671	27
672	0
673	0
674	5
675	9
676	0
677	5
678	27
679	5
680	9
681	283
682	5
683	16
684	45
685	70
686	189
687	5
688	18
689	31
690	50
691	0
692	5
693	351
694	0
695	5
696	9
697	5
698	5
699	0
700	5
701	5
702	0
703	5
704	5
705	5
706	5
707	0
708	12
709	0
710	5
711	5
712	28
713	27
714	5
715	132
716	5
717	27
718	5
719	0
720	64
721	31
722	0
723	0
724	5
725	5
726	27
727	0
728	0
729	0
730	16
731	99
732	41
733	119
734	59
735	43
736	5
737	27
738	5
739	0
740	45
741	42
742	5
743	307
744	68
